id	S01	p.value_S01	S02	p.value_S02	S03	p.value_S03	S04	p.value_S04	S05	p.value_S05
Bcells_SIGLEC10	0.450873042172288	0.000487966308735003	-0.394613033759009	0.00261611345334023	0.379921699408734	0.00387580447651742	-0.471936504185878	0.000240723844994418	0.68202627119072	7.13617097802153e-09
Bcells_RIMS3	0.231719250139632	0.0857250682262696	-0.108066121930306	0.427906641815343	0.525465483573436	3.20518321485483e-05	-0.377700678651214	0.00410682897729363	0.409296639841783	0.00173463250331824
Bcells_CFD	0.247719102329024	0.065657415265373	-0.197297718757494	0.144975486737947	0.391619463870447	0.00283834799677382	-0.455105355773453	0.000424918172744898	0.387984902409354	0.00313056784080358
Bcells_TP53I3	0.245423737263825	0.0682800068629496	-0.285948733332722	0.0326459009675316	0.452836818334442	0.000457727861844589	-0.414556684839113	0.00149043613103217	0.390329030698218	0.00293920364011848
Bcells_MUC1	0.327181558011558	0.0138419805141268	0.0924008043090817	0.498202963584949	0.57911943338898	2.92563494032829e-06	-0.364546566937663	0.00574061353540857	0.280795683704471	0.0360585009236277
Bcells_AIF1	0.32677575032579	0.0139671964867276	-0.21721670699322	0.10781229115173	0.459131016897347	0.000371902923700123	-0.499497296020495	8.88842153074236e-05	0.581920645500439	2.5514932210629e-06
Bcells_PRKCH	0.36352374575569	0.0058887490391111	-0.448554140243516	0.000525996524428121	0.562883322686874	6.31047314030434e-06	-0.590531302705713	1.66194430094225e-06	0.666768168828046	2.01988192678191e-08
Bcells_TRIM36	-0.235419275886731	0.0807027452432476	0.379156724072908	0.00395404590388078	-0.360413845834907	0.0063599187008361	0.370414949809756	0.00495217305812562	-0.391681159083747	0.00283360397549632
Bcells_SNX24	0.166140881620227	0.22103921880653	-0.241244125556828	0.0732699207942108	0.37520457276765	0.00438088402520286	-0.395186355678211	0.00257536068354518	0.456421755361953	0.000406872247957528
Bcells_PARVG	0.547840574228579	1.24166906360485e-05	-0.144918661819469	0.286581782395908	0.536431879984186	2.03075684891759e-05	-0.656832983828945	3.85260865106037e-08	0.738321742674372	8.36513382100176e-11
Bcells_ITLN1	0.297120597265004	0.0261631250584782	-0.318893613139368	0.0165992334158067	0.315510305032828	0.0178526155106889	-0.366584313229619	0.0054551899170535	0.401719750997105	0.00214925149005083
Bcells_FKBP5	0.0930608107697187	0.495125750827161	-0.258636174496229	0.054267993523708	0.291876201615525	0.0290572390673597	-0.370195702324	0.00497982291757872	0.352916366288795	0.00763364599016794
Bcells_PARM1	0.213932753489532	0.113373931969525	-0.311565645879672	0.0194148495189536	0.383545310846191	0.00352345230713832	-0.440622178468098	0.00067724129965197	0.374053827485995	0.00451256356077509
Bcells_EMB	0.384662721568288	0.00342066761478224	-0.405034958002545	0.00195805765602126	0.174650577536664	0.197952000809671	-0.373756189243865	0.00454718428924137	0.44519936965673	0.000585773067478382
Bcells_LINC00261	0.232611008712922	0.0844927281622584	-0.232825946255545	0.0841977950171629	0.422537973294786	0.00117839539981967	-0.266986835003095	0.0466842743417643	0.34278825194509	0.0097037661851944
Bcells_FRMD3	0.243186371243621	0.0709162308769478	-0.286094427175836	0.0325534663622378	0.388002941410458	0.00312905405400791	-0.382375389043609	0.00363398418603773	0.353868964038316	0.00746037831558929
Bcells_FFAR4	0.159430995049851	0.240519747300383	-0.154853852430849	0.254463913259943	0.379502917422737	0.00391846636867665	-0.348579789693262	0.00846746626596984	0.361071653398824	0.00625759592658431
Bcells_LOC643733	0.234169946474223	0.0823719044260351	-0.247706944252702	0.065671090848186	0.250911146264415	0.0621451265853623	-0.381821407132024	0.00368738402822774	0.534633995508472	2.19090989430172e-05
Bcells_DENND2A	0.193485509416054	0.153062365275314	-0.182708944966286	0.177720337931462	0.280328281821937	0.0363821402627415	-0.299007440137947	0.025182934641049	0.279947567888445	0.0366475294325303
Epithelialcells_GAMT	0.169359875846144	0.212094940144411	0.670829013017824	1.54042619776483e-08	-0.197267061036247	0.145039226483807	0.220789448480711	0.102002581519689	-0.199836608629973	0.13976900744401
Epithelialcells_KCNH8	-0.215235264510268	0.111142313439819	-0.102640886623763	0.45159319243025	-0.349650054886736	0.00825464750513756	0.252362417833184	0.0605990190886158	-0.228227158198718	0.0906872482036287
Epithelialcells_LOC284926	0.289314700913247	0.0305653449721277	0.106057373174621	0.436593756079177	0.325182814937067	0.0144681499637924	-0.428038383392399	0.000998904057761203	0.336804549474227	0.0111423691022196
Epithelialcells_FAM201A	-0.3434854558006	0.00954710429513591	0.146660297782033	0.280767481970225	-0.115951888257983	0.394763991503182	0.279821880547042	0.036735495036619	-0.275160734915119	0.0401232822367831
Epithelialcells_FAM111B	-0.243014533108152	0.0711220104558754	0.0082928232458015	0.951630672075868	-0.504201784730137	7.43383213577814e-05	0.568205957038365	4.92687211940356e-06	-0.395726746386559	0.00253746613012875
Epithelialcells_LOC283177	0.0868425805883716	0.524504656054604	0.390064361831926	0.00296027762001803	-0.032489158381588	0.812109332296453	0.331324578846087	0.0126177559891209	-0.0235863578845883	0.863007404584812
Epithelialcells_LOC728613	-0.162331330120903	0.231959833720791	-0.140212373096238	0.302685987871564	-0.302142473352126	0.0236226651983602	0.392210414760895	0.00279319529527964	-0.0971168931813434	0.476433464920411
Epithelialcells_UPP1	-0.251813825604651	0.0611797772078511	-0.0629079048348253	0.645086593313946	0.147852904830246	0.276831290915537	-0.263825420624174	0.0494464046851349	0.0386287204608069	0.777440123707967
Epithelialcells_KDELR3	-0.116879519250271	0.390967141094021	-0.142184456942414	0.295868006697763	0.180129496683678	0.184026465533164	-0.252343958727864	0.06061848806769	0.0558816455459348	0.682489710014037
Epithelialcells_FGFBP1	0.0832092418472763	0.542063499101977	0.054408610071722	0.690432038187542	0.136696629728423	0.315090641240935	-0.210359865507975	0.119671588086127	-0.000107428932836163	0.999373028713491
Epithelialcells_GNG4	-0.149797712301665	0.270491226970821	0.192296621341643	0.155651324143931	-0.189338358996699	0.16223327608295	0.198060163984318	0.143397005598445	-0.338624650508038	0.0106864729648682
Epithelialcells_CEACAM8	-0.174538584262841	0.198244252079901	0.31437407194054	0.0182912278878865	-0.353053739834791	0.00760844487327628	0.503174114964343	7.7314968344301e-05	-0.394577784325133	0.00261863763764921
Epithelialcells_CYP2B6	-0.0596131626793522	0.662524080546366	0.0717366476266495	0.599306674442952	-0.175760120314368	0.195073140055939	0.272490749131165	0.042177186320392	-0.15046853029502	0.268326986176689
Epithelialcells_IRF7	0.156971436643436	0.247946266459586	-0.177863767090724	0.189697115794112	0.142086726890727	0.296203511514128	-0.471634833746022	0.00024325130417187	0.206947907706962	0.125930859581911
Epithelialcells_NEU1	-0.253727325266828	0.0591733336236061	0.325430048540287	0.0143894038704267	-0.431806471780813	0.000890555237666547	0.367369998054814	0.0053485116411952	-0.480763339957511	0.000176570471818492
Epithelialcells_TSPAN6	-0.0991989203105384	0.466986585559178	0.167142818302219	0.218227529506721	-0.278803160129359	0.0374549426571517	0.416239671485751	0.00141907755376622	-0.108148308306162	0.427553310990727
Epithelialcells_AZGP1	-0.314232265213596	0.0183466066822491	0.206465410550077	0.126835643648731	-0.431180236646166	0.000907794375027818	0.36279809808605	0.00599586486715942	-0.503027618055237	7.77481008774564e-05
Epithelialcells_SLC19A2	-0.256725669219659	0.0561364051411233	-0.256455060597407	0.0564052105070945	-0.456004196145953	0.000412519591158796	0.377012695179331	0.0041808129647352	-0.416916935055729	0.00139123613813308
Epithelialcells_GRB7	-0.113865822915498	0.403381155187862	0.46616813147715	0.000293449175995748	-0.434596346105142	0.000817282588892899	0.428172486067356	0.000994853205902566	-0.351479389127677	0.00790164785404249
Epithelialcells_GALNT10	-0.0527332076894038	0.699505884792312	-0.128442070413364	0.345471650746243	0.241781375598222	0.0726127327085743	-0.497820722004535	9.46697171680838e-05	0.23329577538581	0.0835559243018057
