id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPX8	-0.816569105691076	7.12482142857143	-3.77278959316046	0.000386176035671482	0.951418822119557	-1.91072696661141
RNF128	0.488520325203231	9.125	3.51237378289538	0.000876352623734789	0.951418822119557	-2.25824785933893
KCNJ16	-0.55463414634147	3.07392857142857	-3.30834651450519	0.00162943779306621	0.951418822119557	-2.52269310803766
RNF39	0.430211382113807	5.50964285714286	3.28494506735321	0.00174730970661007	0.951418822119557	-2.5525297982423
SNHG11	0.385528455284541	7.16892857142857	3.26161694931815	0.00187278733506863	0.951418822119557	-2.58216580700029
RSAD2	-1.11250406504066	5.85482142857143	-3.17191581641159	0.00243883265425676	0.951418822119557	-2.69509500061207
EIF3C	0.366308943089406	11.1928571428571	3.12962677951614	0.00275821301862903	0.951418822119557	-2.74775043508581
PARP9	-0.471609756097581	7.85071428571429	-3.12901152778457	0.00276313670789483	0.951418822119557	-2.74851366465666
FCGR1A	-0.72747967479676	5.84071428571429	-3.10190029084592	0.00298846312909564	0.951418822119557	-2.78206355305495
TRIM69	-0.533186991869934	7.82696428571429	-3.08943307466681	0.0030977557504664	0.951418822119557	-2.79743732535151
FKBP5	-0.393544715447174	8.68053571428571	-3.07421735055644	0.00323621049265168	0.951418822119557	-2.81615353316257
OASL	-0.645593495934978	6.27	-2.99034051343694	0.00410909223502906	0.951418822119557	-2.91838192221112
RIMS3	-0.638146341463429	5.96678571428571	-2.98962289665133	0.00411742806957673	0.951418822119557	-2.91924951216108
USP18	-0.571902439024405	5.97928571428571	-2.98109724924349	0.00421767428433786	0.951418822119557	-2.92954762062957
GPR161	-0.496487804878064	6.0425	-2.92342458442981	0.00495776087558996	0.951418822119557	-2.9987542938704
STAT2	-0.430926829268309	8.8125	-2.9100318883828	0.00514606629499976	0.951418822119557	-3.01471004952489
SGK1	-0.692975609756122	9.20464285714286	-2.90933954199445	0.00515597896271138	0.951418822119557	-3.01553369787697
ADAP2	-0.361056910569127	6.70232142857143	-2.89783391217112	0.00532332475185253	0.951418822119557	-3.02920403091561
NNT-AS1	0.532796747967468	6.02875	2.8964600045475	0.00534364086226006	0.951418822119557	-3.03083424121807
C9orf3	-0.392243902439045	8.70482142857143	-2.89132566452631	0.00542020058940301	0.951418822119557	-3.03692224730351
UPP1	-0.504113821138229	6.84625	-2.86932503534843	0.0057599055050973	0.951418822119557	-3.0629348859361
GRB7	0.495382113821123	6.82535714285714	2.86767265905549	0.00578619883488757	0.951418822119557	-3.0648836887801
AKR1B10	-1.0207967479675	8.30196428571429	-2.84686377938952	0.00612696239664422	0.951418822119557	-3.08936651155953
GPSM1	-0.394422764227656	7.05589285714286	-2.84571494432271	0.00614630547792072	0.951418822119557	-3.09071498084471
GGT7	0.367999999999983	6.93142857142857	2.84553356034108	0.00614936461691892	0.951418822119557	-3.09092785337507
GALNT10	-0.411869918699206	7.08178571428571	-2.82445834807155	0.00651454293118815	0.951418822119557	-3.1156044814933
SCNN1G	-0.984601626016274	4.38446428571429	-2.82148927289951	0.00656756892958794	0.951418822119557	-3.11907175848786
GAS2L1	-0.356943089430905	6.99	-2.8149537223641	0.00668569657521994	0.951418822119557	-3.12669593715368
