id	S01_CD4	p.value_S01_CD4	S02_CD4	p.value_S02_CD4	S03_CD4	p.value_S03_CD4	S04_CD4	p.value_S04_CD4	S05_CD4	p.value_S05_CD4	S06_CD4	p.value_S06_CD4	S07_CD4	p.value_S07_CD4	S01_CD8	p.value_S01_CD8	S02_CD8	p.value_S02_CD8	S03_CD8	p.value_S03_CD8
Bcells_SIGLEC10	0.321610225789647	0.0156479380903055	0.552529930476688	1.00901888225155e-05	-0.265814520355703	0.0476934249785572	0.522721425078713	3.58411422550221e-05	-0.237881869951597	0.0774908511985696	-0.0535376061048766	0.695144027175276	-0.235235625362714	0.0809464230987925	0.400913964947463	0.00219816402978087	0.573287025333594	3.87434308476079e-06	0.221953941915949	0.100162256242286
Bcells_RIMS3	0.00548984363574534	0.967968816759122	0.236077750898121	0.0798337994570264	-0.386178641271718	0.00328546905848541	0.491869946275802	0.000118107006221991	0.239312077809559	0.075672450227515	-0.0948149347052761	0.486995543590688	-0.105687095301067	0.438205782155026	0.17709138852916	0.191658520388594	0.280069673440974	0.0365622377140445	-0.172471086644437	0.203694659330642
Bcells_CFD	0.0600877201338019	0.660001210514072	0.320949189192691	0.0158750185126375	-0.421752205448669	0.00120627318179589	0.426142839001494	0.00105777176008647	0.24990921373655	0.0632309219158191	-0.117181697106767	0.389734979041775	-0.283919957797532	0.0339559064390271	0.267462582561616	0.0462797549639302	0.165393433992448	0.22315311670848	-0.157320059215777	0.246884237982506
Bcells_TP53I3	0.0299002436269024	0.826840759102529	0.302477751795485	0.0234607340472354	-0.153326048164992	0.259237607263531	0.456133622502067	0.000410761584500674	0.140539883682922	0.301546727518619	-0.133012968986706	0.328430982473915	-0.345326621093371	0.00914388590978783	0.168566531440756	0.214275343995314	0.277071386732253	0.0387046931366923	-0.125384024863377	0.357172416883548
Bcells_MUC1	0.14197849059733	0.296575372653404	0.242994103401212	0.0711465070438855	-0.22698070131232	0.0925118278629075	0.451459119837967	0.000478757657776662	0.237146987396803	0.0784385599072558	-0.263749918421585	0.0495139652526659	-0.155922947836606	0.251159043716298	0.301672762776401	0.0238511079752568	0.231459980865639	0.0860859940412027	-0.0574417454352049	0.674115069189234
Bcells_AIF1	0.28466377220591	0.0334706349678369	0.447949098410464	0.000536351025213124	-0.169580566482402	0.211491180404763	0.482536731123621	0.000165741885968242	0.106514553166605	0.43460798549869	-0.227811552553079	0.0912924641827843	-0.344090113260589	0.00941301686743522	0.35913969838257	0.00656228238726718	0.666510674572846	2.05459967287726e-08	0.11117784910597	0.414644586572915
Bcells_PRKCH	0.24568031814607	0.067982757275887	0.529472208824169	2.7179113359234e-05	-0.48314024210366	0.000162197514907281	0.672305946772356	1.39439051452566e-08	-0.120256228195414	0.377329206909094	0.010706947480752	0.937574680233171	-0.225112494503767	0.0953000269882908	0.326110312347931	0.0141746270146169	0.560365272203389	7.0838332216096e-06	0.0299193774479392	0.82673165975823
Bcells_TRIM36	0.0193879717471381	0.887216472061332	-0.251121191796553	0.061919412074612	0.360101610116455	0.0064089973053384	-0.481890439829819	0.000169615884483129	0.00284052881448429	0.983423407390092	-0.143196045077008	0.292409778903023	0.30154051550746	0.0239157610984153	-0.183562471846233	0.17566851217813	-0.183420374093379	0.176008909531088	0.18743709825791	0.166569851709594
Bcells_SNX24	0.13902657322147	0.30683408683213	0.240851819323411	0.0737527874659748	-0.366505665170622	0.00546597061668612	0.505527410782531	7.06541507662831e-05	0.141746658838281	0.297372884408938	-0.156680133109668	0.248836060342797	-0.300574809260927	0.0243923682271095	0.122506673021494	0.368400455883084	0.353198077080119	0.00758204437516684	-0.0471600016983405	0.72998496222486
Bcells_PARVG	0.400786204753984	0.00220600966997213	0.57919808132857	2.91446732960539e-06	-0.415285298970201	0.00145915776491551	0.546624527361373	1.30963914001065e-05	0.00193127797131629	0.988729136710913	-0.36543981563171	0.0056139256298399	-0.05434263040822	0.690788572178332	0.534916354586263	2.16500815009123e-05	0.677789086441754	9.58579383744378e-09	0.185024844320427	0.1721930679719
Bcells_ITLN1	0.0362583808443358	0.790778097371592	0.397806302449993	0.00239621956146707	-0.374133836595712	0.00450329671190686	0.420869137145968	0.00123830829183547	-0.0211267534834234	0.877176462825263	0.00624565705391611	0.963561728877645	-0.255257129667502	0.0576076931035004	0.240715938800691	0.0739206231605073	0.107974133544804	0.428302308728982	-0.158171445064506	0.244303644385744
