id	S01_Fib	p.value_S01_Fib	S02_Fib	p.value_S02_Fib	S03_Fib	p.value_S03_Fib	S04_Fib	p.value_S04_Fib	S05_Fib	p.value_S05_Fib	S06_Fib	p.value_S06_Fib	S07_Fib	p.value_S07_Fib	S08_Fib	p.value_S08_Fib	S01_End	p.value_S01_End	S02_End	p.value_S02_End	S03_End	p.value_S03_End	S04_End	p.value_S04_End	S05_End	p.value_S05_End
Bcells_SIGLEC10	-0.423057664110263	0.00116027680358754	0.445325007384801	0.000583428075479656	0.352449457342593	0.00771984455277404	0.0946929138976505	0.487558821240029	-0.295068157978561	0.0272655292702756	-0.446897914475802	0.000554780325005763	0.746439337560247	4.00983900048254e-11	-0.102078050522093	0.454091099072948	0.262870619896154	0.0503063308515542	0.569936165250721	4.54177037752075e-06	0.501567183291433	8.21895290312053e-05	-0.645339453674653	7.897900095564e-08	-0.455379271670207	0.000421104438328916
Bcells_RIMS3	-0.214103301489943	0.113079792131749	0.644852995799965	8.13615120342279e-08	0.0103717551339371	0.939525270708469	0.266492283221633	0.0471078433920611	-0.14037918027062	0.302105394415051	-0.361695422733792	0.00616190100206569	0.340289590411183	0.0102836475702763	-0.423729875697808	0.00113721189500591	0.669854709435777	1.6445340904065e-08	0.276084132407705	0.0394324326970579	0.270272130963534	0.0439489361283824	-0.385388947206227	0.00335529649899894	-0.311692624995741	0.0193628103044677
Bcells_CFD	-0.202103415711022	0.135239793295313	0.673276074306808	1.30568302860632e-08	0.0194921627196861	0.886614344635653	0.206639182848491	0.12650921901544	-0.063113941907495	0.64400229093995	-0.345411290057601	0.00912570403346173	0.373214797109469	0.00461075778102982	-0.432185190285433	0.000880273420027685	0.734991052407338	1.12236748766926e-10	0.26760067821802	0.0461628733474746	0.256507668949503	0.0563528713416422	-0.383854889436001	0.00349470587392043	-0.314953625514172	0.0180663747203665
Bcells_TP53I3	-0.213815631552539	0.113576268236151	0.629195397723582	2.06061631517855e-07	-0.0284599171019404	0.835062557801845	0.268529373880955	0.0453831025109343	-0.171259965642702	0.206936259249238	-0.422923467431227	0.00116493134299181	0.449876692614648	0.000503990273267159	-0.407874511870522	0.00180651772192795	0.608234318382069	6.61375703531735e-07	0.275471774168738	0.0398894691918052	0.347942486394216	0.00859644368062562	-0.463528830453837	0.000320910937250747	-0.292594795183767	0.0286455178535972
Bcells_MUC1	-0.0971095566401831	0.476466932251795	0.619368392103991	3.59788988424368e-07	0.0185609482458274	0.891998119855939	-0.0532227497511811	0.696850180086044	0.0961527156010045	0.48084249296226	-0.207547415690969	0.124813473226511	0.295258685193363	0.0271615799351327	-0.279241117931423	0.0371442298914695	0.629473696291574	2.02777329922867e-07	0.177272922746073	0.191196228133934	0.31972725081613	0.0163021998370053	-0.326984187498261	0.0139027603043145	-0.107227447487851	0.431521653859893
Bcells_AIF1	-0.261692632216661	0.0513840096608672	0.634831778702986	1.48361733491887e-07	0.379382905171113	0.00393076833195428	0.0564979332625182	0.679176856882182	-0.00166757041772257	0.990268043715599	-0.333743556840665	0.0119469704458652	0.682098170791746	7.100225661405e-09	-0.160644482243243	0.236912372449224	0.525598983511839	3.18772746269931e-05	0.427422282969944	0.00101770597521658	0.603225340076746	8.63233016352035e-07	-0.494444111974922	0.000107383452049343	-0.356799809932934	0.00694859982720722
Bcells_PRKCH	-0.543931334932866	1.47262805702296e-05	0.712368656470761	7.40449002863265e-10	0.394056387813719	0.00265622793041615	0.2947525645623	0.0274384470937243	-0.206311062569458	0.127126114370187	-0.611707493915938	5.48354147977855e-07	0.752007887525957	2.38249783265795e-11	-0.365844875731255	0.00555728902118049	0.593776270931108	1.40945024769618e-06	0.645583614290409	7.78080630467431e-08	0.526801554026651	3.03439438226892e-05	-0.747537772315345	3.62236180841434e-11	-0.645186113862454	7.97228338707742e-08
Bcells_TRIM36	0.391904361299952	0.00281649966764167	-0.603715453667205	8.41194436247956e-07	0.0204436818737848	0.881118429097156	-0.507959323791152	6.43283704413943e-05	0.227667623965038	0.0915027908634461	0.585202813248663	2.16999277296655e-06	-0.310474482936667	0.0198669502203001	0.548383170363937	1.21240892863924e-05	-0.640930990568601	1.03193943069971e-07	-0.407267392499082	0.00183800802933317	-0.0912233916403497	0.503716983900706	0.537355672131809	1.95274534907081e-05	0.464573775774422	0.000309770453681937
Bcells_SNX24	-0.245039585318547	0.0687269881436335	0.639166080692162	1.14718733556905e-07	0.160045504456087	0.238688301622437	0.226209557992954	0.0936549013272392	-0.0806834450531931	0.554435482662895	-0.442725507896895	0.000633718075991693	0.463268362773713	0.000323744003325474	-0.437553433696908	0.000745592139736924	0.632188816043418	1.73213049938363e-07	0.411874986440725	0.00161079306027574	0.273091453594654	0.0417077111940887	-0.492641814184122	0.000114792844122303	-0.382027373017746	0.00366744999544251
Bcells_PARVG	-0.19469702274052	0.150457027767641	0.562368147468518	6.462004543219e-06	0.418333729370968	0.00133457078735921	-0.102715768056421	0.45126143361427	-0.118378947688409	0.384875672551384	-0.219565532153	0.103964896089544	0.814982118254535	2.10411125790477e-14	-0.134414650004153	0.323313445535722	0.472368332251655	0.000237147540826983	0.442596552873547	0.000636311905353026	0.673542083419518	1.28230597230662e-08	-0.494109183211255	0.000108726295716174	-0.306331549545178	0.0216656995152242
